01.82.132.75,8080,http
198.50.219.239,80,http
113203233181,8080,http
110.34.34.38,8080,http
45.32.252.131,9000,http
94.130.14.146,31288,http
159203189195,80,http
177.67.83.62,8080,http
125.16.128.118,3128,http
142.4.204.69,3128,http
35.194.96.206,8080,http
219.76.4.12,88,http
58.9.99.67,3128,http
14.141.216.6,3128,http
203.74.4.3,80,http
45.32.57.138,3128,http
94177180226,80,http
221.133.44.142,8080,http
37.151.43.202,3128,http
178239177210,80,http
212.192.120.42,8080,http
144.217.31.225,3128,http
52.237.24.110,80,http
137.59.44.47,8080,http
217.15.85.202,8080,http
195.83.43.84,8080,http
184.178.217.66,3128,http
185.5.18.161,3128,http
78.85.22.84,9999,http
189.40.191.95,8080,http
110.171.228.21,3128,http
169.56.64.165,8080,http
41159141179,8080,http
45.76.154.255,8080,http
158.69.31.45,3128,http
5167174221,53281,http
52.50.18.125,8080,http
177.67.83.145,8080,http
203.74.4.7,80,http
115.249.2.192,8080,http
95143192200,80,http
137.74.254.198,3128,http
203.74.4.4,80,http
141.255.164.18,3128,http
61.221.75.130,8888,http
203.74.4.2,80,http
63.85.203.16,8080,http
78.31.222.159,3128,http
35.190.59.82,8080,http
14.203.99.67,8080,http
104.196.226.56,80,http
66.194.132.42,8080,http
213.136.77.246,80,http
144217158163,3128,http
50206232202,3128,http
213.136.89.121,80,http
219.76.4.72,88,http
46.98.23.117,53281,http
200116135100,8080,http
203.74.4.6,80,http
203.74.4.0,80,http
203.74.4.5,80,http
34.252.130.88,8080,http
203.74.4.1,80,http
200162142178,3128,http
192.25.126.108,80,http
45.32.58.34,80,http
216.100.88.228,8080,http
49.49.154.244,8080,http
85.133.187.46,8080,http
103.78.11.202,8080,http
186.233.41.122,3128,http
189.115.47.34,53281,http
178205101112,8080,http
190.237.90.33,8080,http
40.71.214.13,3128,http
177.180.21.151,3128,http
200.114.104.4,53281,http
138186178161,8080,http
190.112.41.203,9090,http
163.172.136.39,3128,http
183.89.201.144,8080,http
180232106242,8080,http
101.108.68.193,8080,http
160.202.42.210,8080,http
200.84.138.166,8081,http
180211159166,8080,http
185.15.116.210,8080,http
68.171.68.0,8081,http
177136172246,8080,http
139.255.36.130,8080,http
200.122.211.18,8080,http
141105164174,8080,http
31.145.83.34,9090,http
103.78.80.50,8080,http
187.33.255.145,3128,http
183.88.115.170,8080,http
169.239.221.51,8080,http
182253121125,8080,http
31.145.106.66,8080,http
203.142.76.91,8080,http
188.138.172.36,88,http
175100204172,8080,http
191.102.89.10,3128,http
103.235.67.194,8080,http
171.6.191.13,8080,http
36.234.181.4,3128,http
185.15.109.72,8080,http
94.23.196.87,3128,http
170.84.60.4,8080,http
201217245108,8080,http
187.123.57.221,8080,http
201.16.156.16,3128,http
190153213139,8080,http
103.240.10.29,53281,http
188225184156,8080,http
118.97.127.58,8080,http
91.109.198.6,53281,http
189.194.47.198,8080,http
147.75.123.142,3128,http
177135154123,80,http
5.2.243.134,8080,http
189.41.227.127,3128,http
187.103.0.48,8080,http
31.145.83.198,8080,http
81.25.19.83,8080,http
183.89.18.218,8080,http
101.255.93.177,53281,http
203.156.126.55,3129,http
177.94.244.129,8080,http
103206246110,8080,http
181.40.125.246,8080,http
191.241.36.218,3128,http
220.132.30.63,3128,http
27.123.1.86,53281,http
85.202.13.99,8080,http
45.127.58.94,8080,http
118218238146,3128,http
138.68.129.67,8118,http
190.72.128.94,8080,http
108161138228,3128,http
186.95.142.158,8080,http
93.184.78.33,53281,http
103.228.152.12,80,http
47.90.2.253,8118,http
189.9.55.7,8080,http
190204186155,8080,http
190.205.22.75,8080,http
190.198.244.95,8080,http
27.96.32.82,80,http
205.202.179.71,8080,http
186.91.246.191,8080,http
66.194.132.36,8080,http
51.254.16.106,8080,http
66.194.132.16,8080,http
47.89.185.47,80,http
171.255.199.3,3128,http
47.90.87.225,88,http
66.194.132.43,8080,http
23.25.49.139,80,http
70.32.89.160,3128,http
66.194.132.18,8080,http
204.12.155.204,3128,http
61.69.92.106,80,http
193.233.72.50,3128,http
95143192191,80,http
149.255.154.4,8080,http
41.205.36.88,80,http
170.238.62.16,53281,http
104.36.251.182,80,http
14.198.156.59,3128,http
191.101.1.190,3128,http
202154182197,53281,http
139.59.165.72,8118,http
192117146110,80,http
91.224.204.2,53281,http
178.62.79.146,8118,http
58.176.46.248,8380,http
81247254152,80,http
95234170227,80,http
52.174.89.111,80,http
58.84.14.130,8888,http
46.101.78.122,8118,http
54.207.15.49,80,http
89191131180,8080,http
89.236.17.106,3128,http
185.28.153.207,80,http
169.38.68.188,80,http
119.9.89.61,8088,http
41.78.25.185,3128,http
154.16.165.207,53281,http
62.214.70.116,3128,http
34.230.212.5,80,http
13.56.40.133,80,http
95.0.170.140,8080,http
195202196129,80,http
103.55.69.242,53281,http
83.29.81.139,8080,http
88.99.149.188,31288,http
35.188.243.97,80,http
35185102231,80,http
180.183.80.79,8081,http
91.210.12.132,53281,http
138.204.145.39,80,http
41.78.25.186,3128,http
192.95.18.162,8080,http
114.43.88.118,8888,http
95.0.170.138,8080,http
72.172.183.48,80,http
168232157141,3128,http
144.217.153.15,3128,http
98.172.91.132,8080,http
201.16.156.42,3128,http
62.210.71.225,8080,http
47.52.24.117,80,http
35.185.45.160,80,http
90.90.42.214,3128,http
35190151168,80,http
187.27.185.117,8080,http
188166144115,8118,http
46.101.79.191,8118,http
138.68.137.153,8118,http
178.62.85.56,8118,http
5.39.113.22,80,http
45.55.185.140,80,http
138.197.154.98,80,http
91.236.61.253,3128,http
46.101.55.200,8118,http
139.59.169.231,8118,http
186103175173,8080,http
139.59.162.53,8118,http
118.171.106.73,8088,http
217.106.238.32,8000,http
86.208.110.49,80,http
148251160237,3128,http
195123209104,80,http
46.218.73.162,80,http
138.68.134.255,8118,http
163.172.86.64,3128,http
186.93.8.172,8080,http
